Year,Piniped,Survival_estimate_1,Survival_estimate_2,COHO_Spawners,est_ER
1975,474,,,58359,0.68
1976,521,,,49922,0.68
1977,571,0.0650207,,75281,0.68
1978,623,0.0971327,,69832,0.68
1979,678,0.07367622,,58320,0.68
1980,735,0.10141722,,33538,0.68
1981,793,0.07059117,,41979,0.68
1982,853,0.0480202,,49511,0.68
1983,913,0.09518663,,46651,0.68
1984,973,0.09910663,,90931,0.68
1985,1033,0.13195114,,61481,0.68
1986,1092,0.12522044,,66212,0.66
1987,1149,0.11949336,,70730,0.54
1988,1204,0.18175155,,84878,0.71
1989,1257,0.12531392,,59277,0.65
1990,1307,0.13229156,,40894,0.74
1991,1354,0.08063777,,28665,0.68
1992,1398,0.111432,,40643,0.81
1993,1439,0.07099846,,23434,0.88
1994,1476,0.07977066,,27370,0.43
1995,1510,0.05842411,,20326,0.56
1996,1541,0.05789354,,8550,0.83
1997,1570,0.04672847,,14652,0.40
1998,1595,0.03655976,,25188,0.07
1999,1617,0.02243994,0.026485233,19772,0.09
2000,1638,0.04193713,0.034310562,15978,0.03
2001,1655,0.05851449,0.024712321,53693,0.07
2002,1671,0.04969831,0.031234885,42538,0.07
2003,1685,0.02653907,0.006793647,18555,0.13
2004,1698,0.03709188,0.00856815,38794,0.14
2005,1708,0.01136252,0.004905234,12637,0.13
2006,1718,0.01215317,,7158,0.09
2007,1726,0.0132123,0.00914389,55651,0.11
2008,1733,0.01125841,0.003247087,14810,0.10
2009,1740,0.03219906,0.015872164,20483,0.12
2010,1745,0.016,,35563,0.11
2011,1750,0.0125,,24791,0.12
2012,1754,0.022,,54365,0.11
